,Date,rel_low,rel_high,rel_open,rel_close,rel_volume,time,low,high,open,close,volume
7584,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:05:00,8835.0,8846.18,8840.28,8845.95,21.72373867
7585,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:10:00,8829.0,8851.06,8844.7,8829.84,29.3676663
7586,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:15:00,8811.41,8832.4,8829.37,8816.42,37.94826004
7587,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:20:00,8816.42,8838.57,8816.42,8835.7,7.46124992
7588,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:25:00,8831.65,8845.24,8836.14,8845.09,20.58960336
7589,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:30:00,8845.01,8860.16,8845.01,8859.93,19.96538223
7590,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:35:00,8852.44,8868.64,8859.92,8855.94,27.06492312
7591,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:40:00,8852.04,8865.38,8855.94,8853.11,21.74970097
7592,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:45:00,8845.0,8873.28,8853.11,8870.28,14.91184076
7593,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:50:00,8870.28,8879.82,8870.28,8876.4,25.32646259
7594,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,18:55:00,8875.3,8899.0,8876.39,8894.27,71.05527601
7595,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:00:00,8876.25,8894.27,8894.27,8879.92,35.60700625
7596,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:05:00,8875.01,8892.98,8879.91,8892.0,26.31901246
7597,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:10:00,8861.51,8895.0,8892.0,8865.0,36.16129329
7598,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:15:00,8857.48,8875.0,8865.0,8868.65,27.25183561
7599,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:20:00,8861.51,8878.21,8868.44,8871.1,31.72496907
7600,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:25:00,8858.05,8879.44,8871.1,8875.2,13.25387508
7601,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:30:00,8855.78,8876.68,8874.65,8867.5,25.60095414
7602,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:35:00,8860.0,8872.59,8867.51,8866.19,10.88981328
7603,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:40:00,8860.2,8865.91,8865.91,8863.19,10.25392762
7604,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:45:00,8847.82,8863.97,8863.97,8849.66,19.69303302
7605,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:50:00,8849.61,8880.0,8849.66,8875.04,44.12442535
7606,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,19:55:00,8868.52,8877.76,8875.04,8874.08,14.26993621
7607,02_27_2020,1.0,-1.0,-1.0,-1.0,-1.0,20:00:00,8856.17,8875.0,8873.05,8865.47,13.7842304
